Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Ludwig, Trudy",The Power of One: Every Act of Kindness Counts,Pennsylvania,Central York School District,Banned in classrooms,2021,Political / Social Issues,high,"Power, rights, or social systems are central."
"Faruqi, Saadia",Yasmin the Friend (Yasmin Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Pakistani American representation is central.
"Duncan-Andrade, Jeffrey M. R.",The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,Pennsylvania,Central York School District,Banned in classrooms,2021,Political / Social Issues,medium,Political or social-justice issue appears central.
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Butler, Dori Hillestad",King & Kayla and the Case of the Lost Tooth (King & Kayla Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Mystery series; ban theme unclear from title.
"McQuinn, Anna",Lola Loves Stories with Daddy (Lola Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina/Jewish child representation is central.
"Rhodes, Jewell Parker",Ghost Boys,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Tuck, Pamela M.",As Fast as Words Could Fly,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Jules, Jacqueline",My Family Adventure (Sofía Martínez Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina family representation is central.
"Krull, Kathleen",Harvesting Hope: The Story of Cesar Chavez,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Braswell, Kenneth","Daddy, There's A Noise Outside",Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Hopkinson, Deborah",Michelle,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Miedoso, Andrés",Who Wants I Scream? (Desmond Cole Ghost Patrol Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Ghost adventure title has unclear ban theme.
"Mian, Zanib",Planet Omar: Unexpected Super Spy (Planet Omar Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Muslim British family representation is central.
"Slade, Suzanne",Exquisite: The Poetry and Life of Gwendolyn Brooks,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Wallmark, Laurie",Ada Byron Lovelace and the Thinking Machine,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Mora, Oge",Saturday,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Paris, Django",Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Lee, Lyla",Mindy Kim and the Birthday Puppy (Mindy Kim Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Lumumba, Chokwe","Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Prager, Sarah",Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Jules, Jacqueline",Shopping Trip Trouble (Sofía Martínez Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina family representation is central.
"Robinson, Christian",Another,Pennsylvania,Central York School District,Banned in classrooms,2021,Religion,medium,Religious identity or belief appears central.
"Miedoso, Andrés","Ghosts Don't Ride Bikes, Do They? (Desmond Cole Ghost Patrol Series)",Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Ghost adventure title has unclear ban theme.
"Kostecki-Shaw, Jenny Sue","Same, Same But Different",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Swain-Bates, Crystal","Big Hair, Don't Care",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Miedoso, Andrés",The Sleepwalking Snowman (Desmond Cole Ghost Patrol Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Ghost adventure title has unclear ban theme.
"McQuinn, Anna",Lola Plants a Garden (Lola Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina/Jewish child representation is central.
"Cornwall, Gaia",Jabari Jumps (Jabari Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Van Ness, Jonathan",Peanut Goes for the Gold,Pennsylvania,Central York School District,Banned in classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Jules, Jacqueline",Every Day Is Exciting (Sofía Martínez Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina family representation is central.
"Nagara, Innosanto",A is for Activist,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Florence, Debbi Michiko","Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"McKay, Hilary",Lulu and the Duck in the Park (Lulu Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Cooper, Floyd",Max and the Tag-Along Moon,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Becker, Helaine",Counting on Katherine: How Katherine Johnson Saved Apollo 13,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Bell, Derrick",Faces at the Bottom of the Well: The Permanence of Racism,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Hassan, Ndaa",Ramadan Around The World,Pennsylvania,Central York School District,Banned in classrooms,2021,Religion,high,Religious themes or objections are central.
"Muhammad, Gholdy",Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Miedoso, Andrés",Ghouls Just Want to Have Fun (Desmond Cole Ghost Patrol Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Ghost adventure title has unclear ban theme.
"Fredrickson, Lane",Monster Trouble!,Pennsylvania,Central York School District,Banned in classrooms,2021,Violence / Trauma,low,Violent or scary content suggested by title.
"Hort, Lenny",How Many Stars in the Sky?,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Cox, Judy",My Family Plays Music,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,"Inclusive theme possible, but specific issue unclear."
"Barnes, Derrick","Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Black family representation is central.
"DiAngelo, Robin",White Fragility: Why It's So Hard for White People to Talk About Racism,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Hollie, Sharroky","Culturally and Linguistically Responsive Teaching and Learning – Classroom Practices for Student Success, Grades K-12",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Martinez-Neal, Juana",Alma and How She Got Her Name,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Andrews, Troy",Trombone Shorty,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Melvin, Leland",Chasing Space Young Readers' Edition,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Do, Anh",WeirDo Series: WeirDo,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Vietnamese Australian author and multicultural school story.
"Dillon, Leo",Rap a Tap Tap: Here's Bojangles - Think of That!,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Fuerst, Jeffrey B.",African American Cowboys: True Heroes Of The Old West,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Sidney II, Ronnie",Nelson Beats The Odds,Pennsylvania,Central York School District,Banned in classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Nelson, Vaunda Micheaux","The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore",Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity appears central."
"Guidroz, Rukhsanna",Leila in Saffron,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Sagar, Lindsey",The Story of Rap,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Faruqi, Saadia",Yasmin the Librarian (Yasmin Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Pakistani American representation is central.
"Jules, Jacqueline",The Marigold Mess (Sofía Martínez Series),Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,medium,Latina family representation is central.
"Choi, Yangsook",The Name Jar,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Bynum, Betty K.",I'm a Pretty Little Black Girl!,Pennsylvania,Central York School District,Banned in classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
